patient_id,first_name,last_name,date_of_birth,age,gender,ssn,phone_number,email,address,city,state,zip_code,admission_date,discharge_date,length_of_stay_days,admission_type,department,attending_physician,primary_diagnosis,secondary_diagnosis,medication_1,medication_2,height_cm,weight_kg,bmi,blood_pressure,heart_rate_bpm,temperature_celsius,oxygen_saturation_pct,blood_glucose_mgdl,creatinine_mgdl,hba1c_pct,insurance_provider,insurance_claim_amount_usd,icu_days,readmission_30day_flag,smoker,alcohol_use,discharge_disposition
34267,Charles,Miller,1964-10-21,59,M,391-70-8843,6515484020,charles.miller7@hotmail.com,1071 Washington Dr,Baltimore,FL,,2024-08-11,2024-09-05,25,Routine,Psychiatry,Dr. Flores,Asthma,Migraine,Lisinopril,,166.2,70.7,25.6,106-77,56,38.8,90 %,321,1.27,4.1,AETNA,84486.08,4,0,yes,,Deceased
47762,thomas,Green,1980-09-24,38,female,816-61-5460,712-752-9090,THOMAS.GREEN57@GMAIL.COM,7079 Elm Ln,Albuquerque,NY,88385,2018-10-19,2018-11-10,22,Elective,Surgery,Dr. Adams,Obesity,,Albuterol,Prednisone,174.5,100.0,32.8,108/64,89,,N/A,294,N/A,10.2,Humana,49192.87,4,0,1,Moderate,AMA
10150,Donna,Carter,1977-01-27,,F,114-80-7684,295-430-2858,donna.carter60@gmail.com,8166 Pine Ln,Philadelphia,OR,94896,2018-08-11,2018-08-18,7,Transfer,Oncology,Dr. Jones,Epilepsy,,Aspirin,Albuterol,184.2,62.3,18.4,126/88,112,39.9,97,192,5.82,6.8,United Health,32913.02,3,1,no,Heavy,Rehab Facility
PT-63841,Carol,martinez,1982-06-07,39,F,,8652826383,carol.martinez87@aol.com,7995 Lake St,El Paso,NJ,59808,2022-04-11,2022-04-24,13,Emergency,Emergency,Dr. Brown,Sepsis,,Sertraline,Atorvastatin,155.7,127.1,-999,102/88,-6,37.6,,149,1.06,11.0,UNKNOWN,37990.84,3,0,no,Moderate,Home
67898,Karen,Gonzalez,1966-11-02,55,F,952-46-4770,821-560-4588,karen.gonzalez82@yahoo.com,2241 Oak Rd,Boston,NC,91381,2022-10-04,2022-10-27,23,Routine,Orthopedics,Dr. Rodriguez,Appendicitis,,Insulin Glargine,,N/A,77.4,-999,127/104,100,38.3,98,95,7.33,10.7,Aetna,77363.55,2,0,0,Moderate,Discharged to SNF
11824,Kenneth,White,1973-01-24,,M,146-14-5986,704-318-2592,kenneth.white31@aol.com,6079 Lake Dr,Indianapolis,WA,,2020-12-09,2020-12-28,19,Routine,Orthopedics,Dr. White,UTI,Heart Failure,Warfarin,Aspirin,171.2,97.7,33.3,,58,37.9,99,224,5.37,5.1,Humana,3264.53,4,0,No,N/A,AMA
40539,,Rodriguez,1993-06-20,24,F,587-67-6931,725-807-2786,barbara.rodriguez58@aol.com,8544 Pine Dr,New York,WI,,2018-01-12,2018-01-21,9,Emergency,Psychiatry,Dr. Martinez,Appendicitis,Type 2 Diabetes,Aspirin,Warfarin,154.9,118.6,49.4,135/110,-2,36.2,99,285,4.45,10.7,Medicare,60697.91,5,0,No,Occasional,Transferred
22463,Donald,Jones,1962-11-13,,M,394-86-6119,560-306-9313,DONALD.JONES28@YAHOO.COM,1774 Elm Way,Dallas,TN,96079,2022-03-14,2022-03-19,5,Transfer,Pediatrics,Dr. Johnson,Pneumonia,Parkinson's Disease,Gabapentin,Warfarin,,53.2,22.4,106/95,92,37.6,98,286,7.01,N/A,CENTENE,57535.53,4,1,Former,Moderate,Rehab Facility
30632,Ashley,Hill,04/27/1947,,F,309-48-4460,985-340-5186,ashley.hill38@hotmail.com,7056 Maple Ave,San Francisco,CA,25726,2021-01-19,2021-02-03,15,Emergency,Psychiatry,Dr. Ramirez,Rheumatoid Arthritis,Hyperlipidemia,Clopidogrel,Furosemide,N/A,88.5,34.7,104/78,112,37.2,91,272,7.88,4.5 %,BlueCross BlueShield,37360.56,0,0,,Heavy,Transferred
24945,Carol,Martinez,1971-05-06,,M,758-91-6295,N/A,carol.martinez57@gmail.com,4962 Pine Ln,El Paso,MA,71462,2021-12-09,2022-01-02,24,Emergency,Psychiatry,Dr. Allen,Type 2 Diabetes,Asthma,Sertraline,,161.5,59.7,22.9,173/64,113,N/A,97,,5.61,11.9,Kaiser Permanente,70778.37,0,0,N,Heavy,Deceased
89928,  Michelle  ,hill,1965/05/18,57,,778-60-3112,809-925-2388,michelle.hill40@aol.com,5382 Maple Rd,Louisville,CO,593XX,2022-05-06,2022-05-20,14,Elective,Emergency,Dr. Roberts,Epilepsy,Alzheimer's Disease,Clopidogrel,,179.1,50.6,-999,176/84,69 bpm,38.3,90,249,2.83 ,9.9,Anthem,31074.47,5,0,1,Occasional,Discharged to SNF
98652,  Mark  ,Anderson,1994-10-11,,M,936-35-3267,456-253-8873,mark.anderson48@aol.com,8453 Oak Blvd,Milwaukee,SC,23446-0000,2021-03-13,2021-04-07,25,Emergency,Cardiology,Dr. Sanchez,Asthma,Obesity,Insulin Glargine,Omeprazole,186.4,84.9,24.4,N/A,106,37.1,,,4.46,12.7,Cigna,69511.43,3,0,0,Moderate,AMA
89807,Jessica,Clark,,54,F,784-20-9576,569-269-9618,jessica.clark70@aol.com,6398 Park St,Los Angeles,MO,765XX,2020-08-31,2020-09-10,10,Transfer,Emergency,Dr. Rodriguez,Appendicitis,Osteoarthritis,Gabapentin,Furosemide,187.7,87.5,24.8,,68,,93,193,4.78,5.7,Cigna,62433.52,0,0,Yes,Moderate,Rehab Facility
94790,Nancy,Ramirez,04/15/1944,77,F,284-79-5813,528-305-2311,nancy.ramirez42hotmail.com,6982 Maple Rd,Oklahoma City,MA,50173,2021-09-21,2021-09-30,9,Transfer,Oncology,Dr. Johnson,Anemia,Type 2 Diabetes,Furosemide,Warfarin,190.3,77.9,21.5,,-999,36.3,94,110,3.73,,Aetna,57215.04,2,0,Former,,Rehab Facility
77861,DONNA,Jackson,1963-06-26,57,F,261-99-3852,570-720-4673,donna.jackson16@yahoo.com,8095 Main Blvd,Louisville,GA,28202,2020-12-02,2020-12-25,23,Routine,ICU,Dr. Roberts,Pneumonia,Anemia,Pantoprazole,,156.1,51.3,21.1,146/65,,-999,96 %,347 mg/dL,2.68,6.7,Humana,34144.52,0,0,N,,Deceased
78012,Sarah,Rodriguez,1962-06-25,57,F,690-43-4453,(985) 785-7825,,8939 Pine Rd,El Paso,CT,75278-0000,2020-03-15,2020-04-05,21,Elective,Psychiatry,Dr. Martinez,Depression,Migraine,Hydrochlorothiazide,,154.2,-999,,164/69,93,38.3,88,111,0.84,9.8,United Health,37646.66,0,0,Y,N/A,Transferred
34881,Ashley,Johnson,1986-03-06,37,M,210-65-3194,470-944-6992,ashley.johnson98outlook.com,839 Hill Ln,Columbus,NY,57964-0000,2023-03-28,2023-04-13,16,Transfer,Oncology,Dr. Miller,Atrial Fibrillation,Depression,Atorvastatin,,172.7,127.2,42.6,135/63,113,39.4,98,310 mg/dL,2.64,4.1,Humana,70238.81,3,1,N,Moderate,Home
54089,Mary,White,1983-12-12,40,F,274-77-7229,351-897-4968,mary.white5@aol.com,7226 Elm Dr,Los Angeles,OH,24404,2024-04-24,2024-05-04,10,Routine,ICU,Dr. Lee,Heart Failure,Atrial Fibrillation,Warfarin,Amoxicillin,194.1,94.6,25.1,100/178,110,38.6,100,186,5.91,9.3,United Health,44328.73,3,0,Former,Heavy,Deceased
45842,Daniel,  Roberts  ,1988-09-24,33,Male,700-40-4972,251-885-9700,daniel.roberts29@yahoo.com,5412 Park St,Charlotte,FL,168XX,2022-04-05,2022-05-04,29,Urgent,Pediatrics,Dr. Adams,Migraine,Hypertension,Pantoprazole,Metoprolol,162.9,105.7,39.8,146/101,111,39.3,,209,1.53,9.5,Medicare,55470.52,3,0,Yes,None,Transferred
69552,Sarah,Gonzalez,1984-04-23,35,M,188-61-2562,389-343-8822,sarah.gonzalez42@yahoo.com,3859 Park Way,Columbus,NC,10895,2019-07-04,2019-08-01,28,Urgent,ICU,Dr. Baker,Obesity,Depression,Prednisone,Metformin,182.9,100.1,29.9,91/107,87,39.0,90,277,6.7,8.6,Cigna,5749.51,2,0,0,N/A,Discharged to SNF
78879,Dorothy,Allen,1947-01-03,77,M,567-82-1945,772-673-6049,dorothy.allen93@gmail.com,50 Cedar Ln,Baltimore,NC,61897,2024-04-29,2024-05-03,4,Elective,ICU,Dr. White,Asthma,,Furosemide,Pantoprazole,156.7,72.9,29.7,104/103,,,100,98,3.9,8.6,Medicare,3181.6,0,0,N,Heavy,Rehab Facility
42441,Anthony,Flores,1956-11-28,-999,M,157-27-9255,496-439-6224,anthony.flores74@aol.com,3882 Pine Ave,Jacksonville,OR,98150,2019-04-08,2019-04-10,2,Routine,Emergency,Dr. Adams,Migraine,Hypothyroidism,Sertraline,,153.0,95.5,40.8,176/105,81,37.6,-999,346,2.13,11.8,United Health,53396.42,2,1,Unknown,Heavy,Home
58637,Joshua,  Hill  ,,61,M,872-71-4974,912-818-4350,JOSHUA.HILL51@YAHOO.COM,4638 Washington Dr,Memphis,NJ,82362,2018-07-31,2018-08-09,9,Urgent,Emergency,Dr. Lee,Pneumonia,Depression,Gabapentin,,158.5,109.7,43.7,161/73,92,39.6,91,167,7.72,5.1,UNKNOWN,68338.0,3,0,N,None,Discharged to SNF
56160,CAROL,Brown,1983-10-23,36,M,753-95-8916,875-699-1257,carol.brown1aol.com,275 Lake Rd,Los Angeles,AZ,82305,2020-01-24,2020-02-23,30,Transfer,Pediatrics,Dr. Thompson,Obesity,Depression,Metformin,Warfarin,153.3,,48.7,90/86,79,36.6,91,N/A,3.92,4.5,Aetna,44810.57,1,0,no,Heavy,Deceased
22499,Andrew,Walker,1960-08-11,14,f,677-40-7375,,andrew.walker50yahoo.com,5667 Main St,Las Vegas,IN,20279,2020-05-15,2020-06-13,29,Urgent,General Medicine,Dr. Anderson,Hypothyroidism,,Atorvastatin,,180.8,68.8,21.0 ,174/62,-4,N/A,100,273,7.47,N/A,MEDICAID,82373.78,4,1,Y,,AMA
66489,Dorothy,Garcia,1976-08-09,42,F,271-65-5521,631-506-8933,dorothy.garcia10@hotmail.com,8124 Hill Ln,Las Vegas,GA,42990,2019-02-28,2019-03-01,1,Routine,ICU,Dr. Adams,Atrial Fibrillation,Heart Failure,Sertraline,,150.6,80.2,35.4,161/75,71,36.7,92,224,2.51,5.3 %,Centene,32600.7,1,0,,Occasional,Transferred
13527,Brian,Jones,2003-07-20,16,F,990-98-7853,756-237-6890,brian.jones90@aol.com,1393 Oak Way,Tucson,CO,87833,2020-05-08,2020-05-23,15,Emergency,Pediatrics,Dr. Anderson,Hyperlipidemia,Osteoarthritis,Metoprolol,Lisinopril,,N/A,28.9,109/105,N/A,40.0,-999,275,4.51,12.3,Kaiser Permanente,82103.07,4,0,0,N/A,Home
72411,Amanda,davis,1980-08-03,41,M,290-91-8080,605-229-4232,amanda.davis58@aol.com,3520 Cedar Blvd,Los Angeles,WA,66302,2021-07-30,2021-08-02,3,Routine,Emergency,Dr. Hill,Parkinson's Disease,Asthma,Prednisone,,179.2,102.6,32.0,121-93,70,-999,95,188,6.48,9.7,Kaiser Permanente,17152.78,1,0,N,,Deceased
80435,  William  ,Lopez,1955-07-17,68,F,960-66-9006,3712841505,william.lopez98@yahoo.com,3684 Lake Blvd,San Jose,NY,48284,2024-03-22,2024-03-28,6,Urgent,Cardiology,Dr. Carter,COPD,UTI,Aspirin,Amlodipine,N/A,118.6,N/A,152/68,99,38.0,95,279,5.64,7.7,Humana,65997.05,4,0,1,,Deceased
37082,Paul,Hernandez,1991/02/22,30,F,986-26-5090,N/A,paul.hernandez32@outlook.com,4403 Washington Dr,Nashville,IL,74154,2021-12-07,2021-12-25,18,Transfer,Neurology,Dr. Campbell,Anemia,,Atorvastatin,,163.2,93.7,35.2,155/103,67,39.1,,N/A,7.0,5.1,,38921.78,5,0,1,N/A,Home
00030707,Carol,Martin,1978/05/19,41,M,,688-279-3174,NA,153 Main Rd,Indianapolis,MN,78084,2020-04-08,2020-05-01,23,Urgent,Pediatrics,Dr. Rodriguez,Anxiety Disorder,Hypothyroidism,Omeprazole,,189.4,52.9,14.7,100/83,71,-999,-999,189,3.72,4.8,Aetna,62249.51,1,0,N,Occasional,Transferred
42477,Charles,Roberts,1989-08-24,N/A,M,611-91-2163,000-000-0000,charles.roberts41@yahoo.com,9313 Washington Blvd,Baltimore,OK,60703,2024-09-27,2024-10-17,20,Emergency,Surgery,Dr. Jackson,Pneumonia,Parkinson's Disease,Aspirin,Atorvastatin,179.6,70.6,21.9,155/72,87,39.1,100,,4.21,5.0,Aetna,1665.54,0,1,Unknown,N/A,AMA
17589,Karen,Nelson,,72,M,130-52-8034,478-736-2046,karen.nelson34@aol.com,7458 Lake Blvd,San Francisco,TX,92251,2023-02-01,2023-02-21,20,Transfer,Cardiology,Dr. Smith,Type 2 Diabetes,UTI,Metoprolol,,181.9,104.6,31.6,134/93,,36.5,100,207,6.0 ,5.1,Centene,57463.18,2,0,yes,None,Home
62550,SANDRA,smith,1965-04-29,,F,106-62-1391,438-754-6675,,6165 Pine St,Memphis,CA,53911,2021-06-26,2021-07-07,11,Transfer,Emergency,Dr. Robinson,Atrial Fibrillation,Hyperlipidemia,Warfarin,,175.4,70.8,23.0,149/83,113,39.1,,349,6.2,6.2,UNKNOWN,8360.75,0,0,No,,AMA
31544,Susan,lewis,1950-10-31,73,female,***-**-1802,893-506-5262,susan.lewis23gmail.com,9109 Lake Ave,Indianapolis,OK,63004,2024-01-05,2024-01-17,12,Emergency,Psychiatry,Dr. Taylor,Chronic Kidney Disease,Heart Failure,Amlodipine,,188.4,52.7,14.8,128/105,55,39.4,90,116,5.83,-999,Cigna,70100.4,1,0,No,None,Deceased
90868,sarah,Harris,1976-12-17,47,M,429595430,384-226-6224,sarah.harris77@yahoo.com,4603 Main Way,Louisville,CT,13840,2024-03-05,2024-03-21,16,Emergency,Psychiatry,Dr. Harris,Coronary Artery Disease,Parkinson's Disease,Prednisone,Metoprolol,178.9,112.8,35.2,110/159,98,37.4,96,N/A,3.08,9.1,Cigna,23021.53,0,0,Y,Occasional,Discharged to SNF
10089,  Christopher  ,Brown,1951-09-15,-999,M,261-65-8982,864-524-3854,CHRISTOPHER.BROWN91@AOL.COM,3658 Hill Way,Fort Worth,KY,90440,2021-10-27,2021-11-19,23,Transfer,Oncology,Dr. Hill,COPD,Alzheimer's Disease,Sertraline,,N/A,57.0,17.3,157/83,97,38.6,97,,3.02,N/A,CENTENE,33590.32,5,0,Y,,Home
60585,Daniel,WRIGHT,1954-12-03,67,F,450317151,3649492228,daniel.wright71gmail.com,7910 Main Dr,Oklahoma City,WI,54295,2022-08-23,2022-09-08,16,Transfer,Surgery,Dr. Taylor,Appendicitis,,Warfarin,,171.6,118.4,N/A,177/74,59,36.1,88,N/A,2.46,4.9,Cigna,82836.67,0,0,Unknown,Moderate,Rehab Facility
44734,Elizabeth,Lewis,1956-08-02,65,M,666-17-7342,000-000-0000,elizabeth.lewis88@outlook.com,7804 Pine St,Dallas,CT,85066,2022-02-28,2022-03-29,29,Elective,Orthopedics,Dr. Gonzalez,Rheumatoid Arthritis,Epilepsy,Lisinopril,Clopidogrel,,64.2,22.0,97/69,62,37.4,96,281,7.78,9.3,United Health,10663.82,4,1,Former,None,Discharged to SNF
64321,Deborah,Miller,1992-04-10,26,F,439984892,250-963-8785,deborah.miller35hotmail.com,4966 Pine Blvd,Baltimore,NJ,12651,2019-02-15,2019-03-17,30,Routine,Neurology,Dr. Gonzalez,Coronary Artery Disease,Migraine,Amlodipine,Albuterol,189.6,119.6,33.3,173/91,-2 bpm,37.6,97,,,,Medicare,65905.61,1,0,1,Occasional,Deceased
36097,Michelle,  Johnson  ,1985-04-25,37,M,266-83-4511,4268624688,michelle.johnson87@yahoo.com,8410 Main Way,Charlotte,CO,45269,2022-06-14,2022-07-05,21,Transfer,Pediatrics,Dr. Ramirez,Parkinson's Disease,Migraine,Metformin,,176.7,60.1,19.2,165/95,70,37.0,99,116,2.64,7.5,Centene,68173.08,1,0,N,Moderate,Transferred
95389,MICHELLE,Rodriguez,1945-02-03,79,M,787-55-9311,(507) 374-3967,michelle.rodriguez38@gmail.com,4238 Lake Way,Las Vegas,IL,71706,2024-09-23,2024-10-06,13,Urgent,Pediatrics,Dr. Robinson,COPD,Anxiety Disorder,Atorvastatin,,194.9,67.1,17.7 ,139/107,74,38.9,98,343,-999,8.3,Medicaid,67093.64,1,0,No,Heavy,Deceased
20592,Susan,Carter,1996-12-03,21,M,482-11-6279,975-743-4122,susan.carter3@gmail.com,3708 Elm Blvd,Dallas,AL,92141,2018-08-26,2018-08-27,1,Transfer,Surgery,Dr. Perez,Heart Failure,,Clopidogrel,Metoprolol,157.1,-999,45.3,106/99,104 bpm,39.9,94,,0.78,5.8,Humana,80645.16,0,0,N,N/A,Deceased
PT-16368,ANTHONY,Lewis,1949-09-12,68,F,623-89-2928,000-000-0000,anthony.lewis64yahoo.com,4309 Lake Ave,Memphis,OH,89823,2018-03-22,2018-03-24,2,Emergency,General Medicine,Dr. Martinez,Osteoarthritis,Depression,Metoprolol,,161.4,104.7,40.2,100/177,103,N/A,92,140,,-999,Medicare,-1709.0,1,0,No,,Deceased
53078,Elizabeth,Davis,2005-10-07,13,F,594-82-8178,385-825-7221,elizabeth.davis46@aol.com,2141 Park Dr,Boston,OK,13777-0000,2019-01-16,2019-01-28,12,Transfer,Psychiatry,Dr. Anderson,Chronic Kidney Disease,Anemia,Lisinopril,,170.5,116.0,39.9,,71,38.8,88,151,1.28 ,12.2,BlueCross BlueShield,60036.01,5,0,Unknown,Moderate,Rehab Facility
53371,Jennifer,Robinson,1997/09/18,24 yrs,Unknown,733-91-5990,720-775-4389,JENNIFER.ROBINSON84@OUTLOOK.COM,890 Cedar Way,Baltimore,VA,54676,2022-03-31,2022-04-13,13,Emergency,Emergency,Dr. Green,Anemia,Parkinson's Disease,Amoxicillin,Furosemide,170.2,117.8,40.7,105/91,52,37.6,N/A,70,6.69,11.1,Aetna,8733.43,5,0,no,,Transferred
69048,Dorothy,Ramirez,1984-10-01,33,F,723-98-5067,480-607-6617,dorothy.ramirez38@outlook.com,9872 Lake Blvd,Charlotte,IL,27481,2018-01-18,2018-02-04,17,Elective,Oncology,Dr. Allen,Epilepsy,Anxiety Disorder,Pantoprazole,Losartan,185.1,122.4,35.7,,N/A,38.4,,,7.11,7.8,Humana,58518.65,1,1,0,N/A,Rehab Facility
99573,Daniel,Lewis,1966-06-24,-999,M,907-97-6122,765-255-1212,daniel.lewis96@hotmail.com,7260 Cedar Rd,Milwaukee,WI,36619,2020-04-15,2020-05-10,25,Emergency,Oncology,Dr. Mitchell,Epilepsy,Osteoarthritis,Prednisone,Amoxicillin,180.4 cm,92.8,,172/95,115,39.2,92,94,7.45,7.5,Humana,38424.86,1,0,0,None,Discharged to SNF
38830,Jennifer,Thompson,1954-04-19,68,,428-58-2857,595-462-9851,jennifer.thompson93@hotmail.com,6144 Lake Way,Seattle,UT,13238,2022-08-31,2022-09-18,18,Transfer,Cardiology,Dr. Green,Stroke,Type 2 Diabetes,Sertraline,Losartan,179.9,73.1,22.6,169/93,51,37.4,N/A,,7.69,10.1,Aetna,80623.9,2,1,No,Occasional,Deceased
39837,Paul,smith,NULL,46,M,***-**-9740,425-339-7406,paul.smith70@hotmail.com,6114 Main Ln,Austin,IL,931XX,2022-11-09,2022-11-08,-1,Urgent,Emergency,Dr. Wilson,Pneumonia,,Lisinopril,,176.4,104.6,33.6,154/66,,37.1,95,265,3.46,9.9,Medicaid,45889.35,0,1,N,N/A,Discharged to SNF
97988,Donna,Nelson,1957-05-11,64,F,795-52-8863,673-656-6877,,9939 Oak Way,San Antonio,FL,82308,2021-07-25,2021-08-10,16,Emergency,Psychiatry,Dr. Sanchez,Obesity,Heart Failure,Pantoprazole,,156.9,93.2,37.9,70/144,81,38.8,98,293,2.58,7.2,UNKNOWN,75882.89,5,0,,Occasional,Deceased
77388,Daniel,williams,,28,M,820-76-5480,959-469-9918,daniel.williams73@yahoo.com,5986 Hill Rd,Columbus,CO,,2019-08-22,2019-09-15,24,Routine,Orthopedics,Dr. Jones,Asthma,Rheumatoid Arthritis,Albuterol,Furosemide,160.4,67.5,26.2,175/73,96,39.7,-999,90,-999,6.9,Medicare,-678.03,2,0,0,N/A,Discharged to SNF
29249,George,Campbell,1976/05/16,48,F,271-97-6614,664-810-2127,george.campbell30@outlook.com,272 Cedar Ln,Phoenix,IL,60523,2024-09-20,2024-10-09,19,Transfer,Neurology,Dr. Walker,Stroke,Heart Failure,Amoxicillin,,159.7,96.6,37.9,151/70,102,39.2,100,163,5.17,8.6,Centene,3798.59,3,1,Unknown,Occasional,Home
40475,Amanda,Mitchell,1988-10-11,,M,474-88-5514,896-606-4337,amanda.mitchell53@aol.com,6066 Lake Ln,San Antonio,TN,83080,2022-08-01,2022-08-10,9,Elective,Orthopedics,Dr. Allen,Coronary Artery Disease,,Sertraline,Hydrochlorothiazide,155.3,N/A,18.9,178/80,63,38.6,92,203,6.91,7.8,Aetna,63690.3,5,0,N,Moderate,Home
17531,Emily,jackson,1979-05-20,148,M,700-35-9482,000-000-0000,emily.jackson12@aol.com,9161 Hill Blvd,Baltimore,AL,47289,2018-02-13,2018-02-20,7,Transfer,Surgery,Dr. Jones,Osteoarthritis,Obesity,Albuterol,Losartan,173.0,104.4,34.9,176/62,50,36.3,92,274,3.15,7.6,Centene,893.05,3,0,0,Moderate,Home
38885,Jessica,Jackson,1971-09-05,52,M,853405348,411-434-4322,jessica.jackson32@aol.com,1748 Oak St,Memphis,IL,56665,2023-10-17,2023-10-14,-3,Urgent,Psychiatry,Dr. Moore,Migraine,Coronary Artery Disease,Amoxicillin,,183.7,74.1,22.0,112/90,77,37.1,99,167,,5.8,BlueCross BlueShield,72156.9,0,1,1,Occasional,AMA
52655,Donna,Perez,1963-08-01,57,F,923-40-8081,590-400-3389,donna.perez95@yahoo.com,2894 Washington Dr,Los Angeles,KY,719XX,2020-08-29,2020-09-07,9,Routine,Oncology,Dr. Brown,Heart Failure,Appendicitis,Clopidogrel,Levothyroxine,-999,80.6,28.2,136/85,73,39.9,98 %,187,6.61,10.5,Humana,48000.7,3,0,yes,Moderate,Home
68580,Lisa,Clark,1996-09-02,22,F,561-62-3741,(388) 223-3048,lisa.clark94@yahoo.com,1312 Cedar Ave,Las Vegas,NC,967XX,2019-08-17,2019-09-14,28,Emergency,Pediatrics,Dr. Flores,Rheumatoid Arthritis,,Atorvastatin,Aspirin,153.2,58.8,25.1,130/101,84,37.6,95,255,6.11,8.7,UNKNOWN,65643.9,4,0,Former,None,Home
88326,Karen,Thompson,1979-01-09,44,F,804-72-8816,506-209-8052,karen.thompson38@aol.com,8982 Elm Ave,Los Angeles,KY,40305,2023-11-15,2023-12-06,21,Elective,Psychiatry,Dr. Hall,Hypothyroidism,Hypothyroidism,Hydrochlorothiazide,,186.2,82.6,23.8,,,39.0,90,N/A,2.65,8.8,Medicaid,19140.06,5,0,Unknown,Moderate,Deceased
PT-40514,Ashley,  White  ,1959-06-26,,F,224-41-7304,989-653-5049,,1540 Lake Rd,Las Vegas,MA,36106,2021-11-01,2021-11-15,14,Urgent,Emergency,Dr. Brown,Atrial Fibrillation,Migraine,Sertraline,Metoprolol,151.4,51.8,22.6,108/63,100,37.9,91,198,6.63,11.5,Anthem,44518.27,5,0,Unknown,Occasional,Discharged to SNF
